source,task_type,source_id,question,context,choice_labels,choice_texts,gold_label,gold_index,gold_text,explanation,subject,meta
MMLU,mcq,,"The only survivor of one of the two Sandy Hook Elementary School first-grade classrooms where Adam Lanza shot and killed 20 children tricked the gunman by playing dead,the girl's pastor said. ""She ran out of the school building covered from head to toe with blood and the first thing she said to her mom was,""Mommy,I'm OK but all my friends are dead"" Pastor Jim Solomon told ABC News' Lara Spencer this weekend ""Somehow,at that moment, by God's grace,she was able to act as she was already dead.""he said. The girl, a 6-year-old whose name is not being announced for privacy reasons,was the first student to appear from the lockdown at Sandy Hook,Solomon said.He said the young girl described the shooter to her mom in a way that only a young child can. ""Well, she saw someone who she felt was angry and someone she felt was very mad,""Solomon said. ""I think it's impossible without the help of God. She has wisdom beyond her years, for sure'' Of the 20 children killed on Friday in the Newtown,Conn., school, eight were boys and l2 were girls Six staff members,all female, were also killed. The gunman,whose mother was also killed by him before he went to the schoo1 classrooms, was found dead at the present spot. ""The mom told me--and I thought this was very insightful --that she was suffering from what she felt was survivor's guilt because so many of her friends no longer have their children but she has hers,"" Solomon said how the girl's mother and father are handling the trauma .""I don't know whether l would have the type of faith that they have if the same thing happened to me."" How did the girl manage to avoid being shot?",,"['A', 'B', 'C', 'D']","['She pretended to be dead', 'She hid herself under the desk', 'She rushed out of the school building in time', 'She persuaded the shooter into not shooting her.']",A,0,She pretended to be dead,,,{}
ARC-Easy,mcq_science,AKDE&ED_2012_8_13,Which behavior can help animals establish a territory?,,"['A', 'B', 'C', 'D']","['A caribou herd migrates seasonally.', 'A scent trail leads ants to a food source.', 'A wolf pack howls to warn other wolves to stay away.', 'A honeybee society divides the work between its members.']",C,2,A wolf pack howls to warn other wolves to stay away.,,,{}
AQUA-RAT,mcq_rationale,,"A trader expects a gain of 15 % on his cost price. If in a week his sale is of Rs. 580, then what is his profit?",,"['A', 'B', 'C', 'D', 'E']","['75.65', '73.26', '72.5', '70.78', '71.62']",A,0,75.65,"Explanation:
We are given selling price = Rs. 580 and expected profit of 15 %
Therefore, we can easily solve this numerical, considering basic formulae of profit and loss.
Let cost price = x
Selling price = C.P. + Profit
S.P. = C.P. + (15% of C.P.) ---------- (We know that profit is gained on cost price)
580 = x + (0.15 x)
580 = 1.15 x
Therefore,
x = 504.347
Cost Price = Rs. 504.35
Now, we have the cost price and hence,
Profit = S. P. – C.P. = 580 – 504.35 = Rs. 75.65
The trader gets a profit of Rs. 75.65
ANSWER IS A",,{}
MMLU,mcq,,"Every time I lost a tooth I would put it under my pillow at night. The next morning I would wake up to find two coins replacing my tooth. Then I'd wonder about the tooth fairy all day. ""Mom, where do you think the tooth fairy lives? What does she do with the teeth she collects?"" My mom said she didn't know. She only knew that the tooth fairy took the tooth away while we were sleeping and left us some money under our pillow. But I wanted to find out. So I think it was a good thing that I would lose another tooth. The plan was to stay up all night and ask the tooth fairy when she showed up. That night I lay quietly in my bed, growing sleepy as the night went on. Moments later, I felt that someone was close to me. Through my half-opened eyes, I didn't see any feet, but I knew it was the tooth fairy. I watched her run around and fly right out of my room. She was wearing a shiny green dress. After she left, I immediately felt under my pillow. There were two coins. I had never even felt my pillow move. I wondered if she used magic. As I got older, I learned from my teachers that the tooth fairy didn't exist. It was just a mythical figure of early childhood. I kind of thought it was, but how could I see the tooth fairy fly that night? Then one night my mom came into my room to check on me. The moonlight was bright that night and it shone through my window right on her shiny green nightdress. Right then I knew deep down that my mom was the tooth fairy. When the author felt someone was close to her, she   _  .",,"['A', 'B', 'C', 'D']","['thought her mother had come', 'believed she was in a dream', 'was only half awake', 'was unable to sleep']",C,2,was only half awake,,,{}
MMLU,mcq,,"by J. Courtney Sullivan, fiction, $26 The Kellehers are a big, disorderly family who sometimes seem to have only one thing in common: love for their beach house in Maine. Lie there with this novel and listen to a summer's worth of secrets, quarrels, and misunderstandings. WHAT I LEARNED WHEN I ALMOST DIED by Chris Licht, nonfiction, $23 The energetic co-creator of MSNBC's ""Morning Joe"" was unprepared for the pain, fear, and helplessness he felt after suffering a brain bleed. But as he detailed in this outspoken, thoughtful book, the lessons he took from the event surprised him the most. FIRE AND RAIN by David Browne, nonfiction, $26 This book transports you back to a year -- the 1970 of Apollo 13, the first Earth Day -- and the turning point of albums by the Beatles, James Taylor, and Crosby, Stills and Nash that provided the sound for a new decade. Rolling Stone contributing editor Browne artfully describes the creation of these classic songs. LONG DRIVE HOME by Will Allison, fiction, $22 A moment of anger has life-and-death consequences in this beautifully written novel. Being angry with a speeding teenage driver, Dad Glen Bauer makes a turn of his car in response, causing an accident in which the other driver dies. It's a story about guilt, responsibility, and how mistrust can tear a loving family apart. JESSICA LOST by Bunny Crumpacker and J.S. Picariello, memoir  ,$25 Two authors -- a woman who gave up a baby for adoption and the child herself -- write alternating chapters in this memoir, which takes readers on a 50-year journey through their separate lives, their meeting, and their following relationship. Its account is both original and heartbreaking. Which of the following is TURE according to the text?",,"['A', 'B', 'C', 'D']","['MAINE talks about a loving happy family.', 'WHAT I LEARNED WHEN I ALMOST DIED is a novel.', 'JSSICA LOST is about a mother and her daughter.', 'LONG DRIVE HOME is written in the first person.']",C,2,JSSICA LOST is about a mother and her daughter.,,,{}
MMLU,mcq,,"Michigan is the land of the great lakes, where",,"['A', 'B', 'C', 'D']","['glaciers tore out lakes', 'there are lots of swimmers', 'glaciers are in lakes', 'lakes are filled with eels']",A,0,glaciers tore out lakes,,,{}
AQUA-RAT,mcq_rationale,,The jogging track in a sports complex is 1000 meters in circumference. Deepak and his wife start from the same point and walk in opposite directions at 20 km/hr and 15 km/hr respectively. They will meet for the first time in?,,"['A', 'B', 'C', 'D', 'E']","['50min', '40min', '35min', '25min', '20min']",C,2,35min,"Clearly, the two will meet when they are 1000 m apart
To be 20+15 = 35 km apart, they take 1 hour
To be 1000 m apart, they take 35 * 1000/1000 = 35 min.
Answer is C",,{}
MMLU,mcq,,Prolonged sweating in hot weather means,,"['A', 'B', 'C', 'D']","['your going to change into a new animal', ""you're ready to travel through time"", 'you are going to fill a swimming pool', 'your organs are unable to get replenished']",D,3,your organs are unable to get replenished,,,{}
MedQA,mcq_medical,,"A 34-year-old female comes to the ED complaining of epigastric pain and intractable nausea and vomiting for the last 24 hours. Her vitals are as follows: Temperature 38.1 C, HR 97 beats/minute, BP 90/63 mm Hg, RR 12 breaths/minute. Arterial blood gas and labs are drawn. Which of the following sets of lab values is consistent with her presentation?",step1,"['A', 'B', 'C', 'D']","['pH 7.39, PaCO2 37 , serum chloride 102 mEq/L, serum bicarbonate 27 mEq/L', 'pH 7.46, PaCO2 26 , serum chloride 102 mEq/L, serum bicarbonate 16 mEq/L', 'pH 7.51, PaCO2 50 , serum chloride 81 mEq/L, serum bicarbonate 38 mEq/L', 'pH 7.31, PaCO2 30 , serum chloride 92 mEq/L, serum bicarbonate 15 mEq/L']",C,2,"pH 7.51, PaCO2 50 , serum chloride 81 mEq/L, serum bicarbonate 38 mEq/L",,,"{'metamap_phrases': ['year old female', 'ED', 'epigastric pain', 'intractable nausea', 'vomiting', '24 hours', 'follows', 'Temperature', '97 beats/minute', 'BP 90 63 mm Hg', 'RR', 'breaths/minute', 'Arterial blood gas', 'labs', 'drawn', 'following sets', 'lab values', 'consistent with', 'presentation']}"
MedQA,mcq_medical,,"A 56-year-old woman presents to the emergency department with muscle weakness. She reports her symptoms have progressively worsened over the course of 2 weeks and are most significant in her lower extremities. She also notices increased urinary frequency. Approximately 1 month ago she was diagnosed with a calcium phosphate nephrolithiasis. Medical history is significant for rheumatoid arthritis diagnosed approximately 10 years ago treated with methotrexate, and type II diabetes mellitus treated with metformin. Her temperature is 98.6°F (37°C), blood pressure is 138/92 mmHg, pulse is 92/min, and respirations are 17/min. On physical exam, there is mild tenderness to palpation of the metacarpophalangeal and proximal interphalangeal joints. There is 4/5 power throughout the lower extremity. Laboratory testing is shown.

Serum:
Na+: 137 mEq/L
Cl-: 106 mEq/L
K+: 2.9 mEq/L
HCO3-: 18 mEq/L
Glucose: 115 mg/dL
Creatinine: 1.0 mg/dL
Urine pH: 5.6

Which of the following is the best next step in management?",step2&3,"['A', 'B', 'C', 'D']","['Administer intravenous insulin', 'Administer intravenous sodium bicarbonate', 'Begin potassium replacement therapy with dextrose', 'Increase the methotrexate dose']",B,1,Administer intravenous sodium bicarbonate,,,"{'metamap_phrases': ['year old woman presents', 'emergency department', 'muscle weakness', 'reports', 'symptoms', 'worsened', 'course', '2 weeks', 'most significant', 'lower extremities', 'increased urinary frequency', 'Approximately', 'month', 'diagnosed', 'calcium phosphate nephrolithiasis', 'Medical history', 'significant', 'rheumatoid arthritis diagnosed approximately 10 years', 'treated with methotrexate', 'type II diabetes mellitus treated with metformin', 'temperature', '98', 'blood pressure', 'mmHg', 'pulse', 'min', 'respirations', 'min', 'physical exam', 'mild tenderness', 'palpation', 'proximal interphalangeal joints', '4/5 power', 'lower extremity', 'Laboratory testing', 'shown', 'Serum', 'Na', '137 mEq L Cl', 'mEq/L K', '2.9 mEq/L HCO3', 'mEq/L Glucose', 'mg/dL Creatinine', '1 0 mg/dL Urine pH', '5.6', 'following', 'best next step', 'management']}"
